               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11073,            0.057814,            0.038124,           0.0099652,            0.031363,           0.0023229,          0.00046405,            0.097379,            0.061405,            0.032121,             0.00042,             0.00042,             0.09622
                   1,            0.091748,            0.064085,            0.027859,             0.73509,            0.068966,            0.035573,           0.0077567,             0.08124,            0.057801,            0.021721,           0.0008479,           0.0008479,            0.092348
                   2,            0.075887,            0.054768,            0.021556,             0.80518,             0.14636,             0.12601,            0.033227,              0.0667,            0.044955,            0.017534,           0.0012674,           0.0012674,            0.088467
                   3,            0.066179,            0.046508,            0.019179,              0.8123,             0.12644,             0.12614,            0.032213,            0.074564,            0.036613,            0.016749,           0.0016723,           0.0016723,            0.084572
                   4,            0.069084,            0.040156,            0.017394,             0.86322,             0.19387,             0.20528,            0.072686,            0.061746,            0.036292,            0.015863,           0.0020567,           0.0020567,            0.080657
                   5,            0.061521,            0.039089,            0.017234,              0.4983,             0.38675,             0.27179,             0.11298,            0.054939,            0.034888,            0.014943,           0.0024151,           0.0024151,            0.076715
                   6,            0.057503,            0.037904,            0.015931,             0.64363,             0.41319,             0.37607,             0.13978,            0.048283,            0.033155,            0.012881,           0.0027422,           0.0027422,            0.072742
                   7,            0.055162,             0.03541,            0.012933,             0.63748,             0.43867,             0.37146,             0.13521,            0.051249,            0.032435,            0.010898,           0.0030335,           0.0030335,            0.068734
                   8,            0.050692,            0.033886,            0.010696,             0.83662,             0.37915,             0.45268,             0.16633,            0.045859,            0.031134,           0.0096816,           0.0032853,           0.0032853,            0.064685
                   9,            0.049835,            0.032993,           0.0092519,             0.69762,             0.48237,             0.38707,             0.14138,            0.045629,            0.030922,           0.0092421,           0.0034942,           0.0034942,            0.060594
                  10,            0.046999,            0.033959,            0.008615,             0.82858,             0.51844,             0.52886,             0.24476,            0.037469,            0.030186,           0.0089011,            0.003658,            0.003658,            0.056458
                  11,            0.047503,            0.033604,           0.0086583,              0.7418,             0.52425,             0.48555,              0.2269,            0.040402,            0.030456,           0.0088535,           0.0037751,           0.0037751,            0.052275
                  12,            0.047511,            0.033323,           0.0081956,             0.70496,             0.47758,             0.44263,             0.17841,            0.044363,            0.030615,           0.0088013,           0.0038449,           0.0038449,            0.048045
                  13,            0.045786,            0.031706,            0.007763,             0.71903,             0.50314,             0.45248,             0.19427,            0.046632,            0.029938,           0.0085566,           0.0038678,           0.0038678,            0.043768
                  14,            0.045591,            0.031601,           0.0073228,             0.81054,             0.53207,             0.51117,             0.24816,            0.036865,            0.029246,            0.008277,           0.0038449,           0.0038449,            0.039445
                  15,            0.041932,            0.030147,           0.0073784,              0.8975,             0.53262,             0.58105,              0.3002,            0.035586,            0.029313,           0.0078799,           0.0037785,           0.0037785,            0.035078
                  16,            0.040125,            0.030861,           0.0070237,             0.91644,             0.51731,             0.58796,             0.30916,            0.038503,            0.029266,           0.0077719,           0.0036716,           0.0036716,            0.030672
                  17,            0.037601,            0.029149,           0.0065553,             0.88267,             0.52886,             0.57283,             0.30215,            0.032399,            0.028556,           0.0083999,           0.0035283,           0.0035283,            0.026228
                  18,            0.036562,            0.028589,           0.0063283,             0.93357,             0.52211,             0.60108,               0.336,            0.032202,            0.029304,           0.0074856,           0.0033533,           0.0033533,            0.021753
                  19,            0.035509,            0.029058,           0.0065884,             0.88827,             0.48958,             0.56586,             0.28552,            0.036876,            0.028823,           0.0074572,           0.0031523,           0.0031523,            0.017252
                  20,            0.035838,            0.027412,           0.0065569,              0.9334,             0.52322,             0.59743,             0.33104,            0.032069,            0.028602,            0.007435,           0.0029315,           0.0029315,            0.012731
                  21,            0.032832,            0.028288,           0.0059487,             0.94221,             0.53211,             0.61822,             0.34977,            0.031349,            0.028595,           0.0076991,           0.0026979,           0.0026979,           0.0081979
                  22,            0.030627,            0.028002,           0.0062213,             0.93059,             0.53385,              0.6333,             0.36684,            0.031727,            0.028449,           0.0075106,            0.002459,            0.002459,            0.003659
                  23,            0.031029,            0.027879,           0.0062105,             0.57331,             0.63723,             0.63517,             0.37503,            0.030722,            0.028738,           0.0075191,           0.0021558,           0.0021558,           0.0021558
                  24,            0.028218,             0.02625,           0.0057155,             0.94542,             0.51169,             0.63259,             0.36363,            0.030298,            0.028658,           0.0074301,           0.0021558,           0.0021558,           0.0021558
                  25,            0.027537,            0.025873,           0.0049892,              0.6878,             0.61696,             0.64595,             0.37622,            0.029171,            0.029066,           0.0067385,           0.0018594,           0.0018594,           0.0018594
                  26,            0.025763,            0.025869,           0.0054071,             0.78379,             0.62741,              0.6707,             0.41013,            0.028374,            0.029105,           0.0065279,           0.0016029,           0.0016029,           0.0016029
                  27,            0.024989,             0.02568,            0.004562,             0.82925,             0.61399,             0.65524,              0.4044,            0.029024,            0.029409,           0.0066218,            0.001389,            0.001389,            0.001389
                  28,            0.024829,            0.026429,           0.0045257,             0.72313,             0.65474,              0.6908,             0.42941,            0.027922,             0.02805,           0.0061641,           0.0012202,           0.0012202,           0.0012202
                  29,            0.023856,            0.025158,           0.0045219,              0.6394,             0.69553,             0.70465,             0.44607,            0.027862,            0.028018,           0.0060139,           0.0010983,           0.0010983,           0.0010983
